symbol,name,sector,industry,open,high,low,close,adj_close,volume,dividend_amount,split_coefficient,fte,fiscal_ye,latest_qtr,market_cap,ebitda,pe_ratio,peg_ratio,book_value,div_per_share,div_yield,eps,revenue_per_share,profit_margin,return_on_assets,return_on_equity,revenue,gross_profit,diluted_eps,qtr_earnings_growth_yoy,qtr_revenue_growth_yoy,analyst_target_price,trailing_pe,forward_pe,price_to_sales_ratio,price_to_book_ratio,ev_to_revenue,ev_to_ebitda,beta,week_high_52,week_low_52,moving_avg_50_day,moving_avg_200_day,shares_outstanding,shares_float,shares_short,shares_short_prior_month,short_ratio,short_percent_outstanding,short_percent_float,percent_insider,percent_institution,forward_annual_div_rate,forward_annual_div_yield,payout_ratio,sma,ema,macd,macd_signal,macd_hist,stoch_slow_d,stoch_slow_k,rsi,stochrsi_fast_d,stochrsi_fast_k,willr,roc,rocr,bbands_upper,bbands_middle,bbands_lower,refresh_date
CTL,CenturyLink Inc,Communication Services,Telecom Services,47.12,47.31,44.75,45.25,15.3081,298800.0,0.0,1.0,40000,0.0,2020-06-30,11973900000.0,8682000000.0,10.0354,419.226,12.27,1.0,0.0916,1.123,20.478,0.0552,0.038,0.0896,22019000000.0,12324000000.0,1.123,0.009,-0.034,9.66,10.0354,8.4602,0.5549,0.9245,2.0644,5.4668,1.0173,15.3,8.45,10.4957,10.3594,1097540000.0,991494000.0,113364000.0,110842000.0,9.01,0.1,0.1176,0.789,78.272,1.0,0.0916,0.885,46.781,46.727,0.6497,1.0594,-0.4096,33.9386,46.0447,56.1873,59.3577,100.0,-84.326,-0.8,0.992,47.8337,46.781,45.7283,2000-01-03
CTL,CenturyLink Inc,Communication Services,Telecom Services,44.75,44.88,43.0,43.44,14.6958,479400.0,0.0,1.0,40000,0.0,2020-06-30,11973900000.0,8682000000.0,10.0354,419.226,12.27,1.0,0.0916,1.123,20.478,0.0552,0.038,0.0896,22019000000.0,12324000000.0,1.123,0.009,-0.034,9.66,10.0354,8.4602,0.5549,0.9245,2.0644,5.4668,1.0173,15.3,8.45,10.4957,10.3594,1097540000.0,991494000.0,113364000.0,110842000.0,9.01,0.1,0.1176,0.789,78.272,1.0,0.0916,0.885,46.525,46.3675,0.4403,0.9356,-0.4953,41.1976,35.9896,35.8301,57.7527,0.0,-91.0931,-5.4111,0.9459,48.069,46.525,44.981,2000-01-04
CTL,CenturyLink Inc,Communication Services,Telecom Services,43.94,44.88,43.44,43.5,14.7161,509800.0,0.0,1.0,40000,0.0,2020-06-30,11973900000.0,8682000000.0,10.0354,419.226,12.27,1.0,0.0916,1.123,20.478,0.0552,0.038,0.0896,22019000000.0,12324000000.0,1.123,0.009,-0.034,9.66,10.0354,8.4602,0.5549,0.9245,2.0644,5.4668,1.0173,15.3,8.45,10.4957,10.3594,1097540000.0,991494000.0,113364000.0,110842000.0,9.01,0.1,0.1176,0.789,78.272,1.0,0.0916,0.885,46.194,45.9261,0.2065,0.7898,-0.5832,31.3954,12.152,31.4966,33.3333,0.0,-89.4737,-7.0053,0.9299,48.2936,46.194,44.0944,2000-01-05
CTL,CenturyLink Inc,Communication Services,Telecom Services,37.0,37.38,36.81,37.25,12.6187,406900.0,0.0,1.0,40000,0.0,2020-06-30,11973900000.0,8682000000.0,10.0354,419.226,12.27,1.0,0.0916,1.123,20.478,0.0552,0.038,0.0896,22019000000.0,12324000000.0,1.123,0.009,-0.034,9.66,10.0354,8.4602,0.5549,0.9245,2.0644,5.4668,1.0173,15.3,8.45,10.4957,10.3594,1097540000.0,991494000.0,113364000.0,110842000.0,9.01,0.1,0.1176,0.789,78.272,1.0,0.0916,0.885,36.026,36.0923,0.0328,-0.4506,0.4834,60.4676,66.8492,60.9842,71.2199,100.0,-11.0672,6.2913,1.0629,38.186,36.026,33.866,2000-03-29
CTL,CenturyLink Inc,Communication Services,Telecom Services,37.75,37.88,36.63,37.0,12.534,485200.0,0.0,1.0,40000,0.0,2020-06-30,11973900000.0,8682000000.0,10.0354,419.226,12.27,1.0,0.0916,1.123,20.478,0.0552,0.038,0.0896,22019000000.0,12324000000.0,1.123,0.009,-0.034,9.66,10.0354,8.4602,0.5549,0.9245,2.0644,5.4668,1.0173,15.3,8.45,10.4957,10.3594,1097540000.0,991494000.0,113364000.0,110842000.0,9.01,0.1,0.1176,0.789,78.272,1.0,0.0916,0.885,36.376,36.3937,0.174,-0.3257,0.4996,59.8486,59.2444,65.5539,90.8784,100.0,-20.3704,10.219,1.1022,38.4016,36.376,34.3504,2000-03-30
CTL,CenturyLink Inc,Communication Services,Telecom Services,37.0,37.69,36.94,37.13,12.578,502600.0,0.0,1.0,40000,0.0,2020-06-30,11973900000.0,8682000000.0,10.0354,419.226,12.27,1.0,0.0916,1.123,20.478,0.0552,0.038,0.0896,22019000000.0,12324000000.0,1.123,0.009,-0.034,9.66,10.0354,8.4602,0.5549,0.9245,2.0644,5.4668,1.0173,15.3,8.45,10.4957,10.3594,1097540000.0,991494000.0,113364000.0,110842000.0,9.01,0.1,0.1176,0.789,78.272,1.0,0.0916,0.885,36.701,36.5039,0.2227,-0.216,0.4387,63.5017,64.4114,58.0052,68.787,6.361,-31.5126,9.6296,1.0963,37.7392,36.701,35.6628,2000-03-31
CTL,CenturyLink Inc,Communication Services,Telecom Services,37.0,37.44,36.5,37.44,12.6831,432700.0,0.0,1.0,40000,0.0,2020-06-30,11973900000.0,8682000000.0,10.0354,419.226,12.27,1.0,0.0916,1.123,20.478,0.0552,0.038,0.0896,22019000000.0,12324000000.0,1.123,0.009,-0.034,9.66,10.0354,8.4602,0.5549,0.9245,2.0644,5.4668,1.0173,15.3,8.45,10.4957,10.3594,1097540000.0,991494000.0,113364000.0,110842000.0,9.01,0.1,0.1176,0.789,78.272,1.0,0.0916,0.885,36.745,36.5941,0.2584,-0.1211,0.3795,62.1234,62.7144,58.0052,35.4537,0.0,-18.4874,1.2035,1.012,37.7928,36.745,35.6972,2000-04-03
CTL,CenturyLink Inc,Communication Services,Telecom Services,37.69,38.75,37.38,38.38,13.0015,543800.0,0.0,1.0,40000,0.0,2020-06-30,11973900000.0,8682000000.0,10.0354,419.226,12.27,1.0,0.0916,1.123,20.478,0.0552,0.038,0.0896,22019000000.0,12324000000.0,1.123,0.009,-0.034,9.66,10.0354,8.4602,0.5549,0.9245,2.0644,5.4668,1.0173,15.3,8.45,10.4957,10.3594,1097540000.0,991494000.0,113364000.0,110842000.0,9.01,0.1,0.1176,0.789,78.272,1.0,0.0916,0.885,36.864,36.7934,0.3384,-0.0292,0.3676,66.0434,71.0045,62.8625,23.5688,64.3454,-11.3846,3.2603,1.0326,38.0364,36.864,35.6916,2000-04-04
CTL,CenturyLink Inc,Communication Services,Telecom Services,38.13,39.75,37.88,39.63,13.4249,893000.0,0.0,1.0,40000,0.0,2020-06-30,11973900000.0,8682000000.0,10.0354,419.226,12.27,1.0,0.0916,1.123,20.478,0.0552,0.038,0.0896,22019000000.0,12324000000.0,1.123,0.009,-0.034,9.66,10.0354,8.4602,0.5549,0.9245,2.0644,5.4668,1.0173,15.3,8.45,10.4957,10.3594,1097540000.0,991494000.0,113364000.0,110842000.0,9.01,0.1,0.1176,0.789,78.272,1.0,0.0916,0.885,36.977,37.0364,0.4324,0.0631,0.3693,72.4096,83.51,65.6754,54.7818,100.0,-2.8235,3.0541,1.0305,38.3759,36.977,35.5781,2000-04-05
CTL,CenturyLink Inc,Communication Services,Telecom Services,39.75,40.19,39.31,39.88,13.5096,826500.0,0.0,1.0,40000,0.0,2020-06-30,11973900000.0,8682000000.0,10.0354,419.226,12.27,1.0,0.0916,1.123,20.478,0.0552,0.038,0.0896,22019000000.0,12324000000.0,1.123,0.009,-0.034,9.66,10.0354,8.4602,0.5549,0.9245,2.0644,5.4668,1.0173,15.3,8.45,10.4957,10.3594,1097540000.0,991494000.0,113364000.0,110842000.0,9.01,0.1,0.1176,0.789,78.272,1.0,0.0916,0.885,37.364,37.5298,0.6303,0.1765,0.4537,81.6673,90.4874,73.7953,88.1151,100.0,-6.982,10.786,1.1079,39.3521,37.364,35.3759,2000-04-06
CTL,CenturyLink Inc,Communication Services,Telecom Services,39.63,39.69,39.19,39.69,13.4453,594200.0,0.0,1.0,40000,0.0,2020-06-30,11973900000.0,8682000000.0,10.0354,419.226,12.27,1.0,0.0916,1.123,20.478,0.0552,0.038,0.0896,22019000000.0,12324000000.0,1.123,0.009,-0.034,9.66,10.0354,8.4602,0.5549,0.9245,2.0644,5.4668,1.0173,15.3,8.45,10.4957,10.3594,1097540000.0,991494000.0,113364000.0,110842000.0,9.01,0.1,0.1176,0.789,78.272,1.0,0.0916,0.885,37.727,37.9116,0.7686,0.295,0.4736,88.4832,91.4522,72.3859,97.0248,91.0744,-12.1065,10.0833,1.1008,39.903,37.727,35.551,2000-04-07
CTL,CenturyLink Inc,Communication Services,Telecom Services,39.31,39.69,38.69,39.5,13.3809,642600.0,0.0,1.0,40000,0.0,2020-06-30,11973900000.0,8682000000.0,10.0354,419.226,12.27,1.0,0.0916,1.123,20.478,0.0552,0.038,0.0896,22019000000.0,12324000000.0,1.123,0.009,-0.034,9.66,10.0354,8.4602,0.5549,0.9245,2.0644,5.4668,1.0173,15.3,8.45,10.4957,10.3594,1097540000.0,991494000.0,113364000.0,110842000.0,9.01,0.1,0.1176,0.789,78.272,1.0,0.0916,0.885,38.014,38.1659,0.8427,0.4045,0.4382,88.8125,84.4979,68.5092,80.9079,51.6492,-18.1102,7.876,1.0788,40.1924,38.014,35.8356,2000-04-10
CTL,CenturyLink Inc,Communication Services,Telecom Services,39.38,40.31,39.25,40.0,13.5503,621000.0,0.0,1.0,40000,0.0,2020-06-30,11973900000.0,8682000000.0,10.0354,419.226,12.27,1.0,0.0916,1.123,20.478,0.0552,0.038,0.0896,22019000000.0,12324000000.0,1.123,0.009,-0.034,9.66,10.0354,8.4602,0.5549,0.9245,2.0644,5.4668,1.0173,15.3,8.45,10.4957,10.3594,1097540000.0,991494000.0,113364000.0,110842000.0,9.01,0.1,0.1176,0.789,78.272,1.0,0.0916,0.885,38.264,38.3866,0.8967,0.5029,0.3937,86.332,83.0458,68.9138,60.8687,39.8826,-8.1365,6.7787,1.0678,40.4383,38.264,36.0897,2000-04-11
CTL,CenturyLink Inc,Communication Services,Telecom Services,40.13,40.38,38.88,39.0,13.2115,386300.0,0.0,1.0,40000,0.0,2020-06-30,11973900000.0,8682000000.0,10.0354,419.226,12.27,1.0,0.0916,1.123,20.478,0.0552,0.038,0.0896,22019000000.0,12324000000.0,1.123,0.009,-0.034,9.66,10.0354,8.4602,0.5549,0.9245,2.0644,5.4668,1.0173,15.3,8.45,10.4957,10.3594,1097540000.0,991494000.0,113364000.0,110842000.0,9.01,0.1,0.1176,0.789,78.272,1.0,0.0916,0.885,38.577,38.7036,0.9886,0.6001,0.3885,75.9624,60.3436,73.0383,59.0706,85.6801,-35.567,8.4595,1.0846,40.8329,38.577,36.3211,2000-04-12
